emp_no,first_name,last_name,salary
296857,Toshimo,Reghbati,124357
109334,Tsutomu,Alameldin,123668
474684,Chinhyun,Klyachko,122726
258777,Manibrata,Lieberherr,121070
276633,Shin,Birdsall,120127
98169,Bedrich,Luft,120032
412164,Slavian,Merro,119939
46439,Ibibia,Junet,119124
60217,Limsoon,Doering,118375
93938,Boutros,Veeraraghavan,117948
422084,Guenter,Ranai,116528
43624,Tokuyasu,Pesch,116058
272188,Vasilii,Luck,116019
432583,Seongbin,Mitsuhashi,114927
43482,Jiann,Pauthner,114603
450910,Niranjan,Bodoff,113566
400356,Collette,Comte,113505
226369,Kensei,Heping,113188
203305,Naftali,Huttel,113050
102962,Chirstian,Kobara,113013
411990,Luigi,Renear,112709
492641,Mori,Azulay,112551
84821,Magy,Vieri,112486
31700,Weiyi,Ranft,112359
214842,Nikolaus,Businaro,112033
274371,Genki,Delaune,112020
447240,Maja,Riefers,111448
422558,Aris,Negoita,111076
297309,Sudharsan,Miculan,111024
87234,Boriana,Mungall,111013
494128,Brewster,Chiodo,110843
473703,Steve,Baar,110537
432267,Siddarth,Rosen,109998
12149,Suebskul,Grandbois,109934
455204,Eckart,Conte,109903
89825,Ingmar,Isard,109757
422471,Owen,Delgrossi,109568
99792,Kensyu,Calkin,109356
56136,Ramya,Buchter,108990
237542,Weicheng,Hatcliff,108963
23505,Yunming,Muchinsky,108941
47286,Yinlin,Kamble,108923
58096,Rosine,Usdin,108753
18006,Vidya,Hanabata,108512
279776,Mohammed,Moehrke,108388
492633,Taiji,Malinowski,108328
498923,Shuky,Itzigehl,108117
486735,Kristinn,Rotem,108053
258955,Serenella,Pollock,107773
20813,Srinidhi,Sinicrope,107655
299304,Geoffry,Khalid,107318
246919,Menkae,Perin,107316
235645,Mona,Carrere,107299
483538,Jackson,Merlo,107256
203631,Nakhoon,Schaaf,107148
487393,Keung,Hebert,107109
290329,Branimir,Luks,107036
260543,Hatsukazu,Decleir,106579
250794,Munehiko,Kinley,106553
254247,Van,Furudate,106503
489585,Janalee,Callaway,106415
283428,Ramachenga,Peot,106404
20305,Gou,Birnbaum,106332
485205,Yefim,Taneja,106305
85204,Moni,Silva,106160
257360,Honglan,Otillio,106124
214769,Augustine,Peir,106103
447849,Izaskun,Wissmann,105937
22786,Moss,Usdin,105882
462062,Francoise,Einsfeld,105681
30730,Willard,Pelc,105440
473903,Stella,Sichman,105398
252016,Hatim,Czaja,105395
80937,Chikako,Jiang,105373
220051,JoAnne,Matheson,105213
13305,Bikash,Herath,104969
71037,Mihalis,Mitina,104927
461615,Flemming,Borovoy,104903
44465,Brigham,Teitelbaum,104822
267770,Vitali,Skrikant,104807
238360,Demin,Basawa,104716
97885,Seshu,Edelhoff,104622
12099,Nobuyoshi,Kuzuoka,104610
467001,Kousuke,Samarati,104538
24588,Huiqun,Kranzdorf,104465
269813,Chaitali,Egerstedt,104331
60598,Izaskun,Sadowski,104317
499688,Bingning,Perin,104279
295800,Jingling,Weisert,104253
81527,Arnd,Bouloucos,103938
419907,Tayeb,Rajaraman,103850
490182,Hironoby,Tetzlaff,103779
31750,Fabrizio,DuBourdieux,103725
261136,Vishv,Joslin,103702
410824,Satosi,Warwick,103671
491799,Zorica,Peck,103529
488279,Danny,Rohrbach,103444
477358,Minghong,Siegrist,103418
53663,Mamdouh,Segond,103397
482894,Greger,Takanami,103374
25537,Akeel,Ibel,103268
284803,Suebskul,Chinal,103145
58351,Chenye,Cannard,103114
222799,Morrie,Doering,103097
246559,Gian,Rissanen,102936
106186,Gonzalo,Sewelson,102905
21413,Laurentiu,Sherertz,102879
299313,Shuzo,Sadowski,102870
297169,Vincent,Rousseau,102822
297381,Gio,Muhling,102742
247256,Patricio,Reutenauer,102719
483353,Mizuhito,Litvinov,102711
230801,Giao,Engberts,102623
240639,Mountaz,Bratten,102549
456286,Maria,Taubenfeld,102543
45546,Gopalakrishnan,Lanphier,102460
46109,Kiyotoshi,Kragelund,102429
42642,Bluma,Broder,102424
476166,Subhada,Quittner,102411
243024,Girolamo,Sherertz,102385
288138,Iara,Tetzlaff,102327
282743,Becky,Paludetto,102275
498628,Wanqing,Dulay,102236
286016,Shigehito,Peha,102221
244791,Kauko,Olivero,102160
408536,Kotesh,Saoudi,101930
105603,Masoud,Sommer,101872
293181,Shaibal,Stanfel,101847
247477,Alenka,Kropp,101744
410662,Piyush,Luon,101742
486225,Rosita,Asser,101652
101172,Nevio,Schoegge,101642
106630,Vojin,Maliniak,101633
225306,Wonhee,Pagter,101630
88291,Piyawadee,Vecchio,101626
226067,Baruch,Benner,101626
91202,Yonghong,Zlotek,101617
67999,Sorina,Herber,101561
102115,Keiichiro,Kobara,101547
255815,Arlette,Jahnichen,101529
85696,Wuxu,Mitzlaff,101476
71057,Christfried,Orsini,101420
18612,Nevin,Sevcikova,101395
206065,Garnik,Spataro,101371
34382,Kayoko,Ravishankar,101364
28281,Adhemar,Oxenboll,101359
51307,Xiping,Parascandalo,101332
484522,Denis,Paciorek,101237
65131,Shakhar,Akiyama,101208
31127,Mizuhito,Puppo,101146
275190,Phuoc,Lanphier,101122
270795,Domenico,Diderrich,101061
217792,Radhia,Gaughan,101052
232753,Tadanori,Sudbeck,100993
457387,Nikolaus,Redmiles,100983
200201,Makato,Ouhyoung,100982
216393,Masami,Hockney,100963
286423,Dietrich,Flanders,100936
34550,Szabolcs,Borstler,100936
80873,Marsal,Nishimukai,100843
208905,Chenye,Ramsey,100788
404417,Uwe,Muniz,100788
97695,Sreekrishna,Fendler,100779
218654,Bedrich,Srimani,100759
406269,Bangqing,Zastre,100695
433732,Miquel,Chepyzhov,100686
105138,Siddarth,Peroz,100677
447649,Shigehiro,Setiz,100655
445562,Alair,Pietracaprina,100570
90535,Keiichiro,Hagimont,100478
405865,Naftali,Deville,100352
106946,Oksana,Luiz,100204
483656,Mana,Serot,100170
28373,Steen,Bhattacharjee,100154
210269,Huan,Hitomi,100150
261213,Abdulah,Covnot,100122
57996,Zhonghua,Xiaoshan,100072
402349,Harngdar,Lipner,100006
70087,Ronghao,Lemarechal,99976
31595,Stevo,Barbanera,99948
420951,Moriyoshi,Ventosa,99939
87374,Sampalli,Maraist,99927
269570,Eben,Kermarrec,99888
18581,Mitsuyuki,Ranai,99867
44750,Bernice,Coors,99844
74246,Tomofumi,Erdi,99729
249525,Mokhtar,Straney,99708
274991,Xinyu,Gide,99624
477389,Abdulah,Claffy,99593
22728,Makato,Codenie,99580
295796,Ewing,Trachtenberg,99574
459021,Teruyuki,Menhardt,99559
402389,Vugranam,Dalphin,99528
427841,Shaz,Schaad,99462
408181,Zhigen,Emden,99451
19113,Persi,Bahr,99390
454101,Anneke,Leslie,99386
238406,Conor,Wegerle,99364
266615,Monique,Menhardt,99290
271703,Debatosh,Flowers,99281
243537,Jingling,Pardalos,99271
65894,Yakkov,Haraldson,99265
254064,Yishai,Baik,99178
470574,Chrisa,Schaar,99169
51062,Werner,Narlikar,99131
57000,Toshiko,Lortz,99120
